Station name:,,,,,,
Mokoliki,,,,,Latitude (decimals):,6.8
,,,,,,
Elevation (m):,,14,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/2008,21.7,30.7,1.36,10.13666667,18.04896,4.03
2/1/2008,24,33.1,1.5,10.09638889,20.12256,4.73
3/1/2008,24.4,33.8,1.59,10.22972222,18.86976,4.74
4/1/2008,24.3,32.8,1.35,10.31027778,19.89792,4.69
5/1/2008,23.5,31.4,1.29,10.15472222,18.2736,4.25
6/1/2008,22.6,29.8,1.32,9.254166667,15.17184,3.61
7/1/2008,22.9,28.5,1.48,9.356666667,12.92544,3.18
8/1/2008,22.5,27.9,1.68,8.497222222,12.096,3.1
9/1/2008,23,29.2,1.51,8.98,12.54528,3.24
10/1/2008,23.5,30.3,1.19,9.666944444,16.30368,3.77
11/1/2008,23.4,32.5,1.17,10.22277778,18.06624,4.19
12/1/2008,23.7,32.9,1.23,10.11611111,16.0272,3.89
1/1/2009,22.7,32.8,1.55,10.02138889,17.09856,4.24
2/1/2009,24.8,33.3,1.8,10.03277778,15.8976,4.25
3/1/2009,25,33.7,1.56,10.24444444,18.46368,4.63
4/1/2009,23.8,32,1.47,10.16666667,19.008,4.52
5/1/2009,23.9,31.8,1.44,10.47416667,19.41408,4.53
6/1/2009,22.7,30.3,1.31,9.615833333,15.2064,3.66
7/1/2009,23.2,28.5,1.62,8.532222222,12.45024,3.14
8/1/2009,22.6,27.7,1.57,8.5425,12.27744,3.05
9/1/2009,23.1,29.2,1.46,8.693333333,13.32288,3.33
10/1/2009,23.7,29.6,1.41,9.368055556,15.17184,3.6
11/1/2009,23.2,31.8,1.2,10.28277778,18.22176,4.16
12/1/2009,23.6,33.8,1.41,10.26388889,17.09856,4.26
1/1/2010,23.2,34.1,1.54,9.9725,16.1568,4.25
2/1/2010,25.7,34.1,2.04,10.04944444,17.17632,4.64
3/1/2010,26,33.6,1.47,10.29388889,19.58688,4.74
4/1/2010,24.9,33.7,1.72,10.43305556,19.8288,4.97
5/1/2010,24.5,31.8,1.65,10.03583333,17.91072,4.37
6/1/2010,23.4,30.4,1.36,8.598333333,13.85856,3.47
7/1/2010,23,28.8,1.72,9.200277778,13.48704,3.38
8/1/2010,22.6,28.5,1.51,8.563611111,12.6144,3.18
9/1/2010,22.8,28.7,1.35,8.229166667,11.74176,3.02
10/1/2010,23.4,29.7,1.07,9.394722222,15.37056,3.52
11/1/2010,23.5,32.3,1.06,9.7625,16.57152,3.88
12/1/2010,23.1,33.3,1.17,10.27722222,16.7616,4.01
1/1/2011,22,32.2,1.38,10.14388889,18.67104,4.3
2/1/2011,24.1,33,1.76,9.698611111,15.28416,4.13
3/1/2011,25.2,33.3,1.82,10.065,19.49184,4.86
4/1/2011,24.2,33.1,1.7,10.46833333,21.60864,5.17
5/1/2011,24,31.9,1.68,10.49638889,19.30176,4.63
6/1/2011,23.2,30.2,1.58,9.936111111,16.23456,3.9
7/1/2011,22.7,28.9,1.67,9.558055556,13.91904,3.45
8/1/2011,22.1,28.6,1.88,8.473611111,12.54528,3.35
9/1/2011,22.9,29.1,1.54,8.693611111,12.29472,3.21
10/1/2011,23.6,29.6,1.06,9.302777778,15.80256,3.57
11/1/2011,23.2,32,1.2,10.095,17.83296,4.12
12/1/2011,22.5,32.5,1.23,10.34888889,18.13536,4.17
1/1/2012,22.2,32.7,1.44,9.932777778,17.35776,4.21
2/1/2012,24,32.7,1.9,9.756666667,15.38784,4.18
3/1/2012,24.7,33.6,1.56,10.22277778,19.69056,4.82
4/1/2012,24.2,32.2,1.74,10.14027778,18.1008,4.52
5/1/2012,23.5,30.8,1.64,10.27527778,18.144,4.3
