Station name:,,,,,,
Oyan Dam Site,,,,,Latitude (decimals):,7.4
,,,,,,
Elevation (m):,,174,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
8/1/2009,22.2,28.1,1.39,8.663888889,12.30336,3.07
9/1/2009,22.6,29.7,1.27,8.844444444,13.40064,3.35
10/1/2009,23.1,30.3,1.22,8.916111111,15.0336,3.6
11/1/2009,22.7,32.6,1.14,9.946666667,18.39456,4.23
12/1/2009,23,34.9,1.18,10.19083333,17.18496,4.23
1/1/2010,22.9,35.5,1.32,10.01388889,16.7184,4.33
2/1/2010,25.1,35.4,1.82,9.935,17.8416,4.84
3/1/2010,25.5,34.9,1.43,9.932777778,20.09664,4.97
4/1/2010,24.5,34.6,1.76,10.17611111,20.07936,5.17
5/1/2010,24.2,32.5,1.49,9.754444444,18.29088,4.47
6/1/2010,23.1,31,1.32,8.9875,14.26464,3.6
7/1/2010,22.7,29.3,1.63,9.063333333,13.68576,3.46
8/1/2010,22.2,28.8,1.38,8.337222222,12.63168,3.19
9/1/2010,22.3,29.2,1.25,8.0475,11.87136,3.07
10/1/2010,22.9,30.4,1.02,9.148055556,15.39648,3.58
11/1/2010,23,33.1,1.03,9.7075,16.90848,3.99
12/1/2010,22.5,34.5,1.07,10.18861111,16.9776,4.08
1/1/2011,21.7,33.6,1.3,10.20972222,18.93888,4.43
2/1/2011,23.6,34.3,1.62,9.576388889,15.8976,4.33
3/1/2011,24.7,34.5,1.6,9.913888889,20.07072,5.02
4/1/2011,23.8,34,1.74,10.37833333,21.97152,5.38
5/1/2011,23.6,32.6,1.5,10.08,19.77696,4.73
6/1/2011,22.9,30.8,1.45,9.708611111,16.632,3.99
7/1/2011,22.4,29.5,1.5,9.447777778,14.32512,3.54
8/1/2011,21.7,28.9,1.64,8.403611111,12.45024,3.3
9/1/2011,22.4,29.6,1.35,8.582777778,12.41568,3.23
10/1/2011,23,30.3,1.07,9.175555556,15.88896,3.66
11/1/2011,22.7,32.9,1.09,9.824722222,18.24768,4.21
12/1/2011,21.9,33.6,1.1,10.47777778,18.25632,4.2
1/1/2012,21.9,34,1.32,10.03555556,17.77248,4.33
2/1/2012,23.5,34,1.69,9.425277778,16.13088,4.37
3/1/2012,24.2,34.8,1.43,10.02277778,20.28672,5
4/1/2012,23.8,33.1,1.73,9.804444444,18.42048,4.71
