Station name:,,,,,,
Igbojaiye,,,,Latitude (decimals):,3.3,
,,,,,,
Elevation (m):,,256,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
6/1/2004,20.5,30.3,1.5,9.678055556,15.62976,3.85
7/1/2004,20.6,28,1.38,8.561388889,12.03552,3.04
8/1/2004,20.4,27.9,1.68,7.753333333,11.4048,3.11
9/1/2004,20.7,29.5,1.3,8.860833333,12.80448,3.32
10/1/2004,20.3,31.3,1.4,9.266388889,15.57792,3.98
11/1/2004,20.9,32.8,1.29,9.530277778,15.53472,4.01
12/1/2004,20.3,34.1,1.48,9.799166667,15.79392,4.31
1/1/2005,19.9,33.2,2.19,10.30305556,18.71424,5.09
2/1/2005,23.4,35.7,1.92,9.7625,17.4528,5.01
3/1/2005,23.6,35.6,1.85,9.704722222,19.0944,5.24
4/1/2005,23.1,34.3,2.12,9.573333333,17.26272,4.97
5/1/2005,22.2,32.2,1.75,9.720277778,18.5328,4.63
6/1/2005,21,30.1,1.61,8.985,13.97952,3.64
7/1/2005,20.9,28.3,1.61,8.441666667,12.01824,3.16
8/1/2005,20.2,27.6,1.76,7.836666667,12.13056,3.21
9/1/2005,20.9,29.3,1.5,8.536388889,12.15648,3.3
10/1/2005,20.6,31,1.47,9.383333333,16.61472,4.12
11/1/2005,21.1,33.6,1.43,10.10861111,18.29088,4.59
12/1/2005,20.5,34.5,1.58,9.934722222,16.16544,4.49
1/1/2006,20.8,34.4,1.87,9.295833333,14.45472,4.45
2/1/2006,22.3,36,1.85,9.273055556,15.54336,4.79
3/1/2006,22.7,35.6,1.95,9.610555556,18.47232,5.25
4/1/2006,23,34.9,2.1,9.998055556,19.872,5.44
5/1/2006,21.5,31.9,1.54,9.390555556,17.22816,4.31
6/1/2006,21.1,31.4,1.49,9.674722222,17.41824,4.21
7/1/2006,21.4,29.4,1.51,8.179722222,12.19104,3.24
8/1/2006,20.4,27.8,1.57,7.576388889,10.44576,2.92
9/1/2006,20.7,28.6,1.48,8.339444444,11.48256,3.12
10/1/2006,21.2,30.9,1.4,9.546666667,16.40736,4.02
11/1/2006,20.6,32.6,1.46,10.40333333,19.3536,4.64
12/1/2006,19.9,33.6,1.75,10.49388889,18.37728,4.81
1/1/2007,19.4,33.1,2.33,10.43305556,19.36224,5.28
2/1/2007,21.6,36.6,1.97,10.00083333,18.75744,5.47
3/1/2007,23.2,36.1,2.1,10.18,21.61728,5.88
4/1/2007,22.9,33.5,2.17,10.30861111,20.3904,5.33
5/1/2007,22,32.3,1.65,10.32527778,21.168,4.97
6/1/2007,20.7,30.2,1.8,9.580555556,16.8912,4.15
7/1/2007,21.1,28.7,1.67,8.574722222,12.24288,3.25
8/1/2007,20.6,27.9,1.76,7.713333333,10.08288,2.95
9/1/2007,20.7,29.2,1.5,8.565555556,12.21696,3.3
10/1/2007,20.7,31.1,1.47,9.198611111,15.64704,3.99
11/1/2007,20.3,32.9,1.31,9.537222222,16.75296,4.22
12/1/2007,20.4,33.7,1.6,10.11916667,16.9776,4.51
1/1/2008,19.2,32.3,2.3,10.35666667,18.4464,5.01
2/1/2008,21.5,35.4,2.06,10.37916667,20.61504,5.61
3/1/2008,22.2,36.1,2.08,9.929444444,20.33856,5.73
4/1/2008,22.4,34.1,1.99,10.23833333,20.88288,5.42
5/1/2008,21.7,32.3,1.53,10.03833333,19.0944,4.61
6/1/2008,20.9,30.5,1.55,9.366111111,17.08128,4.09
7/1/2008,21,28.4,1.55,9.119722222,13.92768,3.39
8/1/2008,20.5,27.6,1.69,8.369722222,12.26016,3.18
9/1/2008,20.7,29,1.53,9.1025,13.50432,3.47
10/1/2008,21.3,31,1.46,9.538611111,17.13312,4.17
11/1/2008,20.6,33.7,1.35,10.13638889,18.56736,4.59
12/1/2008,20.5,34.2,1.55,9.998055556,16.38144,4.45
1/1/2009,20.1,34.2,2.05,10.04611111,17.5392,5
2/1/2009,22.3,35.8,1.87,9.648611111,17.712,5.08
3/1/2009,23.1,35.5,1.99,9.9625,19.872,5.45
4/1/2009,21.9,33.3,2.02,9.866944444,18.82656,5.04
5/1/2009,21.9,32.7,1.62,10.10361111,19.96704,4.84
6/1/2009,20.9,30.8,1.56,9.730833333,17.34912,4.17
7/1/2009,21.3,28.6,1.51,8.824444444,14.01408,3.4
8/1/2009,20.7,27.7,1.49,8.340555556,12.34656,3.11
9/1/2009,20.9,29.2,1.34,8.871666667,13.53888,3.4
10/1/2009,21.5,30.4,1.47,8.888333333,14.80896,3.76
11/1/2009,20.6,32.6,1.45,10.1025,18.06624,4.46
12/1/2009,20.4,35.1,1.6,10.29222222,17.25408,4.73
1/1/2010,20.3,35.6,2.01,10.01416667,17.4528,5.18
2/1/2010,23.1,36.7,2.02,9.884444444,18.68832,5.44
3/1/2010,23.8,35.8,1.99,9.995277778,20.45952,5.56
4/1/2010,23.1,34.7,2.15,10.16972222,20.35584,5.51
5/1/2010,22.6,32.7,1.74,9.882777778,18.80064,4.72
6/1/2010,21.6,31.2,1.53,9.661111111,16.01856,3.99
7/1/2010,21.1,28.7,1.69,8.891111111,14.15232,3.51
8/1/2010,20.7,28.1,1.54,8.449166667,12.72672,3.23
9/1/2010,20.7,28.7,1.37,8.353333333,12.3552,3.2
10/1/2010,21.2,30.3,1.4,9.259722222,15.31008,3.8
11/1/2010,20.8,33.2,1.25,9.8,17.20224,4.26
12/1/2010,19.7,34.6,1.63,10.34527778,17.31456,4.72
1/1/2011,19.5,33.8,2.13,10.21055556,18.72288,5.18
2/1/2011,21.8,35.3,1.86,9.6825,16.6752,4.88
3/1/2011,22.9,35.6,1.98,9.930555556,20.44224,5.56
4/1/2011,22.5,34.4,2.12,10.52777778,22.13568,5.72
5/1/2011,22.1,33,1.7,10.16611111,20.16576,4.95
6/1/2011,21.4,31,1.62,9.787777778,18.04032,4.3
7/1/2011,21,29.1,1.51,9.830277778,15.5952,3.68
8/1/2011,20.3,28.3,1.65,8.395555556,12.528,3.3
9/1/2011,20.7,29.1,1.42,8.8775,13.1328,3.38
10/1/2011,21.2,30.4,1.49,9.426388889,16.39008,4.01
11/1/2011,20.3,33.3,1.3,10.04777778,18.74016,4.54
12/1/2011,19.3,33.5,1.78,10.46777778,18.21312,4.82
1/1/2012,19.7,34.1,2.15,10.15694444,17.98848,5.14
2/1/2012,21.5,35,1.88,9.482222222,17.24544,4.94
3/1/2012,22.4,35.6,1.92,10.04111111,20.84832,5.6
4/1/2012,22.7,33.2,2.04,9.951388889,18.75744,4.98
