Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
4/1/2000,22.8,34.1,1.76,10.24111111,19.4,5.05
5/1/2000,22.8,33.3,1.31,10.28805556,19.6,4.69
6/1/2000,21.1,30.9,1.42,9.026666667,14.2,3.71
7/1/2000,21.2,29.1,1.54,9.076944444,13.3,3.41
8/1/2000,20.8,27.8,1.64,8.726388889,12,3.16
9/1/2000,20.6,30.1,1.46,8.738888889,11.9,3.36
10/1/2000,20.6,31.7,1.11,9.609166667,16,3.87
11/1/2000,21.5,33.8,1.01,10.13555556,18.6,4.28
12/1/2000,20.9,34.8,1.11,10.08611111,17,4.16
1/1/2001,20.9,35,1.18,9.901388889,17.7,4.33
2/1/2001,22.7,35.6,1.82,10.16138889,19.1,5.14
3/1/2001,22.7,36.6,1.7,10.05777778,18.7,5.22
4/1/2001,23.1,33.5,1.82,10.06861111,18.2,4.8
5/1/2001,23.6,32.7,1.41,10.39666667,19.3,4.62
6/1/2001,21.4,30.5,1.47,9.811111111,15.2,3.81
7/1/2001,21.7,29.3,1.58,8.909444444,12.2,3.28
8/1/2001,20.8,28.1,1.77,7.412222222,10.1,2.99
9/1/2001,21.2,29.2,1.49,8.959166667,13,3.38
10/1/2001,21.5,31.6,1.13,9.818611111,17.7,4.11
11/1/2001,22.3,33.9,0.99,9.896111111,17.6,4.14
12/1/2001,22.2,34.9,1.05,10.06916667,16.3,4.01
1/1/2002,21.8,33.1,1.36,10.20416667,18.3,4.32
2/1/2002,22.7,35.8,1.79,9.976666667,18,4.99
3/1/2002,23.4,35.8,1.71,10.04083333,18.8,5.1
4/1/2002,23,33.4,1.66,10.16666667,18.5,4.75
5/1/2002,22.9,33.3,1.4,10.37861111,20.6,4.9
6/1/2002,21.4,31.3,1.57,9.168611111,14.4,3.86
7/1/2002,21.7,29.8,1.46,8.436666667,11.7,3.2
8/1/2002,21.3,28.6,1.69,8.53,11.9,3.23
9/1/2002,21.3,29.5,1.46,9.262222222,14.3,3.59
10/1/2002,21.2,30.6,1.16,9.266111111,15.3,3.68
11/1/2002,22.3,33.5,0.98,9.928611111,17.4,4.07
