Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
10/1/2000,20.9,30.6,1.1,9.658333333,15.552,3.69
11/1/2000,21.8,32.7,1.07,9.898611111,18.15264,4.16
12/1/2000,20.8,34.1,1.19,10.06555556,17.0208,4.16
1/1/2001,20.8,33.7,1.19,9.898888889,17.87616,4.23
2/1/2001,22.8,34.4,1.59,10.02611111,19.50048,4.87
3/1/2001,22.8,35.6,1.57,10.10916667,19.40544,5.09
4/1/2001,23.2,32.7,1.78,9.996111111,18.42912,4.7
5/1/2001,23.5,31.9,1.36,10.38194444,19.224,4.49
6/1/2001,21.7,29.6,1.48,9.646666667,14.61024,3.61
7/1/2001,21.7,28.4,1.67,8.606666667,11.3184,3.08
8/1/2001,20.8,27.5,1.76,7.428333333,9.99648,2.9
9/1/2001,21.5,28.5,1.51,9.010277778,12.5712,3.24
10/1/2001,22,30.5,1.11,9.782777778,16.98624,3.88
11/1/2001,22.6,32.8,1.07,9.811944444,17.25408,4.04
12/1/2001,22.1,34.1,1.15,10.02583333,16.21728,4
1/1/2002,21.8,31.6,1.32,10.22694444,18.4896,4.16
2/1/2002,22.8,34.6,1.6,9.970555556,18.17856,4.71
3/1/2002,23.5,34.7,1.56,10.08166667,19.31904,4.93
4/1/2002,23.1,32.7,1.64,10.06083333,18.78336,4.68
5/1/2002,22.8,32.5,1.4,10.35222222,20.19168,4.74
6/1/2002,21.7,30.4,1.64,8.936388889,13.93632,3.69
7/1/2002,21.7,29,1.59,8.246388889,10.7568,3.04
8/1/2002,21.4,28,1.62,8.365277778,11.33568,3.05
9/1/2002,21.6,28.8,1.45,9.295277778,13.75488,3.41
10/1/2002,21.6,29.5,1.12,9.220833333,14.58432,3.44
11/1/2002,22.6,32.4,1,9.845,17.1504,3.94
12/1/2002,21.5,33.4,1.19,10.07722222,16.7184,4.04
1/1/2003,21.8,33.4,1.17,9.866388889,16.22592,3.95
2/1/2003,23.8,34.7,1.57,9.934722222,16.82208,4.48
3/1/2003,24.3,34.7,1.47,10.125,19.85472,4.94
4/1/2003,23.1,32.2,1.78,9.691111111,17.60832,4.51
5/1/2003,22.8,32.6,1.57,10.0775,18.62784,4.61
6/1/2003,21.7,29.6,1.45,9.158055556,13.2624,3.41
7/1/2003,21.2,28.4,1.67,9.331944444,13.50432,3.41
8/1/2003,21.3,28,1.72,7.993333333,10.98144,3.04
9/1/2003,21.9,29,1.42,8.850277778,11.48256,3.09
10/1/2003,22.7,30.6,1.22,9.163611111,14.2128,3.52
11/1/2003,22.1,32.5,0.99,9.759166667,15.6384,3.73
12/1/2003,21.8,33.1,1.15,10.14583333,16.60608,3.96
1/1/2004,22.1,32.9,1.14,9.868333333,16.09632,3.85
2/1/2004,23.3,33.8,1.51,9.967777778,18.00576,4.51
